AtomicNumber,AtomicMass,Electronegativity,IonizationEnergy,BoilingPoint,MeltingPoint,BondLength,CovalentRadius,VanDerWaalsRadius,ElectronAffinity,Density,HeatCapacity,OxidationState,Polarizability,DipoleMoment,RefractiveIndex,SurfaceTension,Viscosity,SolubilityWater,SolubilityEthanol,BandGap,LatticeEnergy,CrystalFieldStab,MolarVolume,Conductivity,ThermalConductivity,Hardness,ElasticModulus,PoissonRatio,WorkFunction,MagneticSusceptibility,SpinMultiplicity,SymmetryNumber,QuantumYield,pKa,pKb,DielectricConstant,RedoxPotential,FluorescenceWavelength,AbsorptionWavelength,EmissionWavelength,HalfLife,RateConstant,DiffusionCoeff,ActivationEnergy,ReactionEnthalpy,ReactionEntropy,ReactionGibbsEnergy,PartitionCoeff,LogP,TopologicalPolarSurfaceArea,RotatableBonds,HBA,HBD,FormalCharge,OxidationPotential,ReductionPotential,ElectronDensity,HOMO,LUMO,Class
1.23,3.09,1.69,3.1300000000000003,3.58,1.02,1.82,5.79,11.219999999999999,8.35,5.48,8.469999999999999,20.26,25.569999999999997,18.7,20.32,14.63,28.49,58.24,77.28,78.52,85.15,53.12,36.53,59.730000000000004,82.75,100.0,86.72999999999999,63.01,45.910000000000004,39.4,25.759999999999998,28.17,26.41,27.57,26.979999999999997,39.94,45.76,39.4,25.22,17.82,13.54,5.16,3.37,8.94,8.61,8.72,4.45,1.34,2.17,1.8800000000000001,1.3299999999999998,2.65,2.2399999999999998,0.74,1.18,0.26,0.9199999999999999,0.09,0.44,Polymer
0.79,0.86,0.5499999999999999,2.5,3.44,5.46,5.28,9.58,10.09,12.4,10.97,12.15,18.740000000000002,33.83,32.269999999999996,27.229999999999997,39.43,64.32,72.71,86.72999999999999,96.74000000000001,98.47,94.8,80.36,68.33,51.35999999999999,30.9,8.32,40.19,23.44,19.05,12.35,17.169999999999998,23.51,24.89,36.49,33.82,15.89,9.89,10.89,10.43,8.39,13.91,8.19,6.78,6.63,12.02,6.92,1.52,2.6599999999999997,1.7399999999999998,1.76,1.27,0.88,0.98,0.19,0.59,0.58,0.59,0.32,Organic
0.8999999999999999,0.62,2.53,4.89,11.97,15.89,13.919999999999998,9.87,9.55,18.95,18.96,25.47,40.73,29.880000000000003,29.01,53.26,40.22,15.709999999999999,30.240000000000002,39.07,35.42,44.379999999999995,64.14,46.01,60.089999999999996,86.9,83.45,76.69,50.81,46.2,53.800000000000004,53.75,38.440000000000005,36.01,74.02,77.61,38.58,6.67,36.84,61.14000000000001,35.099999999999994,23.119999999999997,21.95,30.509999999999998,19.37,15.7,4.79,5.38,1.46,0.6799999999999999,1.87,0.59,0.95,1.94,0.8,1.52,1.58,0.53,1.8900000000000001,1.02,Biochemical
1.24,4.33,6.04,4.49,5.970000000000001,3.55,5.3100000000000005,3.4299999999999997,10.52,21.2,16.400000000000002,19.009999999999998,30.259999999999998,20.19,5.92,23.9,36.57,38.09,59.29,62.99,58.01,45.739999999999995,44.49,36.91,64.46,89.4,89.78,49.8,33.33,23.5,15.53,36.66,43.4,30.819999999999997,30.240000000000002,41.089999999999996,55.010000000000005,41.29,54.99000000000001,50.18,31.319999999999997,28.02,23.51,22.98,11.55,7.24,6.21,3.18,4.5,1.67,0.7799999999999999,0.83,0.5700000000000001,1.7399999999999998,1.8800000000000001,0.54,1.1400000000000001,1.96,1.47,0.62,Inorganic
2.98,6.15,6.5,9.21,16.150000000000002,22.939999999999998,21.759999999999998,20.330000000000002,14.59,8.52,24.759999999999998,36.449999999999996,27.77,28.26,32.37,43.35,56.379999999999995,45.550000000000004,43.480000000000004,64.33,39.32,19.89,35.4,91.64999999999999,93.71000000000001,46.2,27.71,66.13,80.28,42.0,51.92,69.62,57.92,88.89,78.63,71.33,76.14999999999999,44.01,30.09,31.630000000000003,28.09,28.98,5.26,18.67,15.53,16.33,12.520000000000001,7.48,4.52,0.64,1.54,0.31,1.53,0.7100000000000001,2.12,0.76,1.52,0.49,2.0,0.73,Inorganic
3.52,1.16,1.91,4.6899999999999995,7.37,11.85,16.830000000000002,15.409999999999998,14.66,29.12,23.28,22.37,24.7,15.6,34.910000000000004,33.08,22.99,22.03,24.93,41.28,31.580000000000002,61.91,58.540000000000006,33.95,25.61,55.989999999999995,81.45,69.41000000000001,69.85,86.6,59.3,36.64,67.5,86.97,78.36999999999999,75.52,57.89,47.13,12.520000000000001,60.870000000000005,73.22,59.77,34.31,18.029999999999998,23.78,34.239999999999995,23.03,6.890000000000001,2.16,4.6899999999999995,4.26,3.46,1.58,1.54,1.09,0.48,0.95,0.15,0.73,0.67,Inorganic
1.92,6.069999999999999,3.7800000000000002,7.739999999999999,13.88,8.09,5.680000000000001,2.19,10.37,11.86,12.370000000000001,16.009999999999998,35.199999999999996,44.79,37.69,57.60999999999999,64.25999999999999,67.9,71.57,54.66,53.99,63.62,78.49000000000001,77.56,57.8,48.620000000000005,41.81,24.57,7.16,6.13,18.16,44.93,59.760000000000005,37.85,24.95,57.709999999999994,88.52,84.09,35.699999999999996,31.330000000000002,60.96,63.78,27.089999999999996,14.19,12.6,12.879999999999999,7.9,8.290000000000001,5.2,2.16,3.5999999999999996,3.3099999999999996,1.31,1.2,1.08,0.24,0.44999999999999996,0.37,1.1199999999999999,0.75,Inorganic
2.7,0.9199999999999999,1.4500000000000002,2.78,4.12,7.57,10.26,11.379999999999999,7.9399999999999995,15.2,16.75,13.700000000000001,13.61,13.450000000000001,21.44,53.54,68.30000000000001,56.00000000000001,30.930000000000003,32.26,44.3,55.730000000000004,57.82000000000001,61.73,81.32000000000001,98.19,98.22999999999999,91.66,74.22999999999999,77.36,84.73,73.52,66.71000000000001,60.83,62.39,59.72,57.15,52.42,29.24,15.36,20.03,20.31,22.07,17.78,13.530000000000001,13.73,7.489999999999999,4.72,3.25,1.79,0.44999999999999996,0.84,0.1,0.18,0.6799999999999999,0.38999999999999996,1.2,1.32,0.7000000000000001,0.88,Polymer
1.26,1.49,6.41,17.32,25.650000000000002,25.590000000000003,29.470000000000002,41.099999999999994,49.830000000000005,59.199999999999996,58.32000000000001,54.190000000000005,54.72,53.14,49.81,69.85,82.92,78.39,82.15,93.63,100.0,92.24,78.39,54.7,45.62,59.21999999999999,54.48,39.71,8.82,23.849999999999998,20.05,5.87,25.44,20.09,3.29,15.47,12.120000000000001,24.46,31.71,31.95,30.509999999999998,8.36,12.659999999999998,13.81,11.360000000000001,5.16,0.73,2.78,3.7199999999999998,1.21,1.53,0.9199999999999999,0.35000000000000003,0.98,1.21,0.06,1.81,0.9400000000000001,1.16,0.63,Inorganic
4.73,5.09,8.19,12.520000000000001,17.83,30.7,30.080000000000002,23.62,38.3,37.59,30.209999999999997,29.09,23.01,14.11,15.82,24.3,44.74,59.64,67.44,79.69000000000001,83.19,78.13,86.26,73.69,41.22,25.96,33.92,37.88,44.879999999999995,62.81,74.49,73.28,77.03999999999999,78.7,60.480000000000004,58.599999999999994,63.849999999999994,72.78999999999999,62.86000000000001,53.16,40.69,17.91,16.25,25.27,19.03,16.43,6.04,2.09,4.36,1.7500000000000002,1.0699999999999998,1.9300000000000002,1.18,0.64,0.42,0.54,0.49,0.8200000000000001,0.27999999999999997,0.27,Inorganic
6.64,5.75,8.42,3.7199999999999998,4.58,7.71,7.71,11.3,23.53,18.38,28.689999999999998,41.29,36.47,19.84,28.4,40.39,58.37,67.92,60.86,48.58,32.46,20.13,20.82,16.86,24.84,27.36,29.84,46.550000000000004,69.89999999999999,74.74,79.56,79.81,67.15,69.42,74.4,81.69,89.12,100.0,87.53,70.61,68.03,58.98,46.18,36.39,14.92,12.16,13.059999999999999,11.98,5.779999999999999,2.35,1.35,1.41,1.9,0.43,0.36,0.26,0.24,1.6199999999999999,1.09,0.79,Inorganic
0.9900000000000001,4.84,2.9899999999999998,2.97,6.52,10.77,23.630000000000003,23.849999999999998,0.75,18.82,14.56,18.92,31.759999999999998,13.4,21.69,24.58,25.89,27.860000000000003,22.98,6.5600000000000005,14.41,11.790000000000001,16.68,17.83,24.759999999999998,25.7,10.36,53.559999999999995,71.24000000000001,62.91,47.56,60.150000000000006,72.08,62.339999999999996,57.25,75.22999999999999,87.12,92.52,97.09,92.97,89.95,79.11,56.00000000000001,28.38,44.07,55.06999999999999,43.309999999999995,29.049999999999997,19.81,7.79,3.9600000000000004,1.73,1.49,1.15,2.02,1.39,0.29,1.6,1.06,1.34,Polymer
1.15,1.5,1.3599999999999999,0.76,2.11,10.58,10.23,4.3999999999999995,9.31,7.340000000000001,7.3999999999999995,6.22,10.549999999999999,11.83,17.21,25.840000000000003,32.32,38.17,42.43,42.17,44.49,40.75,33.06,40.12,44.66,52.18000000000001,75.52,95.03,100.0,90.84,82.83,75.71,72.61999999999999,61.519999999999996,56.8,57.57,53.239999999999995,36.720000000000006,16.689999999999998,8.66,6.460000000000001,18.91,26.83,28.87,23.41,16.68,10.15,11.95,7.04,1.67,1.0699999999999998,0.91,0.16,0.84,0.64,0.26,0.29,0.37,0.7000000000000001,0.41000000000000003,Polymer
2.93,6.4399999999999995,3.9,1.73,4.760000000000001,8.16,9.93,3.15,7.359999999999999,8.6,4.14,4.72,8.35,9.379999999999999,14.66,8.09,11.790000000000001,21.790000000000003,33.26,32.58,21.11,23.02,33.61,42.59,46.089999999999996,26.06,8.74,28.62,56.06,83.44,80.96,72.5,80.47999999999999,94.35,100.0,89.60000000000001,55.16,30.37,23.380000000000003,23.82,33.18,38.21,15.75,22.28,15.82,14.330000000000002,16.34,11.33,5.67,1.3299999999999998,1.7000000000000002,0.35000000000000003,0.52,0.83,0.7799999999999999,0.75,1.05,1.6,0.95,0.11,Inorganic
2.01,0.26,1.38,0.62,1.3299999999999998,1.51,5.41,2.1,5.050000000000001,10.97,8.41,9.42,12.04,4.2,0.31,1.6199999999999999,6.239999999999999,21.27,34.36,38.129999999999995,38.25,47.64,63.129999999999995,75.22999999999999,86.75,87.88,79.01,83.57,96.31,96.19,92.36,89.03,97.08,96.47,78.92,53.06999999999999,27.18,19.53,13.74,31.05,37.9,41.05,33.550000000000004,29.98,27.48,20.24,10.43,4.53,3.37,1.22,0.72,1.08,0.7000000000000001,0.63,0.3,0.11,0.06999999999999999,0.24,0.5700000000000001,0.44,Biochemical
1.51,3.2,5.99,10.5,11.63,17.34,16.79,11.19,8.89,12.049999999999999,8.469999999999999,15.18,23.05,27.93,34.04,45.269999999999996,69.5,88.07000000000001,91.53999999999999,75.42,67.36,71.46000000000001,83.35000000000001,77.01,69.93,65.42999999999999,50.4,49.26,49.919999999999995,41.61,16.31,4.04,6.370000000000001,29.62,36.09,18.66,4.760000000000001,14.97,24.05,19.8,31.75,23.79,17.16,15.590000000000002,15.559999999999999,4.22,4.93,4.760000000000001,2.19,0.59,0.86,0.61,0.15,0.84,1.28,0.54,0.11,0.19,0.22999999999999998,0.62,Inorganic
1.77,3.0,2.88,3.94,6.3,5.26,6.88,6.329999999999999,6.239999999999999,6.13,16.8,34.760000000000005,45.61,51.88,63.080000000000005,72.00999999999999,51.53,38.18,26.44,33.45,48.65,66.28,73.89,92.13,100.0,77.5,55.93,61.72,86.35000000000001,65.92,47.699999999999996,49.830000000000005,33.300000000000004,30.759999999999998,28.76,22.259999999999998,7.9399999999999995,6.03,10.489999999999998,6.0600000000000005,15.299999999999999,9.83,16.43,19.009999999999998,11.07,19.17,14.67,3.92,3.56,2.7,1.68,1.02,1.22,0.44,0.75,1.24,0.9900000000000001,0.5700000000000001,0.32,0.19,Polymer
1.0,2.75,1.9,3.71,4.16,2.01,3.1399999999999997,6.510000000000001,18.96,26.68,33.76,32.82,24.32,12.68,12.78,44.41,67.95,70.50999999999999,79.66,94.01,98.57000000000001,81.93,57.89,63.94,70.43,68.75,40.81,18.11,20.64,39.17,37.91,20.419999999999998,22.27,33.410000000000004,39.839999999999996,50.77,55.34,33.52,27.229999999999997,22.78,20.44,19.86,8.35,9.08,13.8,19.48,12.11,8.43,5.89,2.4699999999999998,1.18,0.88,1.04,0.36,0.88,0.47000000000000003,1.17,0.2,0.91,0.58,Organic
1.8900000000000001,3.08,1.97,6.22,0.8,7.89,14.399999999999999,14.510000000000002,17.89,25.22,26.07,37.1,39.06,26.72,27.16,41.83,69.88,57.330000000000005,22.259999999999998,26.31,74.72999999999999,72.63,33.93,28.24,60.529999999999994,58.97,49.669999999999995,86.16,83.39,40.839999999999996,22.68,17.45,5.07,15.879999999999999,30.4,13.69,16.05,20.61,7.340000000000001,2.02,16.38,15.83,18.3,18.86,10.08,6.63,1.83,4.04,1.08,1.43,0.91,0.38,0.96,1.4200000000000002,1.9,1.4000000000000001,0.9900000000000001,0.9199999999999999,0.52,0.75,Polymer
2.4,2.18,3.2399999999999998,5.6899999999999995,3.3000000000000003,5.13,8.97,7.13,5.6899999999999995,3.8899999999999997,19.34,24.34,29.060000000000002,26.06,38.11,49.97,30.15,36.55,67.91,73.07000000000001,50.529999999999994,44.41,69.87,81.33,77.81,89.42999999999999,89.29,89.13,86.1,80.63,55.400000000000006,24.46,34.589999999999996,16.150000000000002,24.67,55.64,46.81,9.790000000000001,15.82,7.51,33.21,37.45,26.66,10.780000000000001,14.180000000000001,16.869999999999997,7.380000000000001,6.34,1.44,2.26,0.61,1.6199999999999999,1.46,0.9299999999999999,1.1199999999999999,0.9400000000000001,0.54,0.19,0.66,0.22999999999999998,Inorganic
0.84,1.53,2.91,4.32,9.51,7.5200000000000005,4.14,2.59,6.92,17.53,19.7,11.67,16.830000000000002,8.14,21.790000000000003,51.21,72.31,77.75999999999999,62.22,35.010000000000005,37.330000000000005,26.22,37.76,73.61,86.72999999999999,82.23,77.72,78.62,56.52,36.35,35.339999999999996,38.65,33.7,16.93,26.27,31.95,13.88,10.48,16.81,19.1,11.74,9.33,8.559999999999999,9.51,9.86,9.56,4.26,4.07,1.06,1.79,0.5599999999999999,2.36,1.1400000000000001,1.3599999999999999,1.17,0.6,0.58,0.31,0.72,0.44999999999999996,Organic
1.95,2.13,0.58,1.9,3.19,5.71,10.040000000000001,6.68,6.909999999999999,2.42,7.28,6.39,30.020000000000003,38.54,47.67,46.02,31.75,41.6,64.28,100.0,86.31,52.12,31.56,59.519999999999996,77.32,60.419999999999995,43.75,54.87,47.199999999999996,62.35000000000001,38.51,15.9,38.91,52.94,35.04,44.800000000000004,40.410000000000004,50.31,64.75,54.93,35.480000000000004,20.28,18.82,8.450000000000001,13.15,15.9,5.62,6.17,3.4299999999999997,3.6999999999999997,2.6100000000000003,1.5699999999999998,0.74,2.71,2.03,0.89,0.95,0.95,0.21,0.53,Organic
4.42,4.77,0.49,5.81,2.78,6.78,16.64,14.899999999999999,9.74,12.68,11.09,23.75,20.07,21.4,11.09,20.36,24.68,66.82000000000001,83.45,82.52000000000001,80.17,89.82,96.64,85.15,66.25999999999999,32.41,20.54,56.69,57.26,48.77,75.32,76.0,51.849999999999994,41.199999999999996,55.60000000000001,55.69,13.36,38.31,46.11,43.3,25.56,14.66,34.89,26.590000000000003,9.44,13.700000000000001,13.44,4.16,7.19,6.370000000000001,2.1,2.04,2.16,1.35,0.5499999999999999,0.73,0.8,1.05,0.59,1.05,Inorganic
3.11,4.91,6.92,8.309999999999999,0.79,2.0,9.81,10.16,20.25,7.670000000000001,17.669999999999998,25.55,28.12,27.22,32.269999999999996,34.63,53.949999999999996,79.11,90.64,87.01,76.72,29.57,41.48,60.42999999999999,31.78,34.82,61.58,80.49,62.89,49.99,58.3,66.60000000000001,41.24,12.6,24.87,46.760000000000005,53.82,31.5,21.39,18.48,16.79,23.28,10.15,7.13,6.15,7.79,7.61,8.450000000000001,5.92,0.6799999999999999,0.89,0.8699999999999999,0.32,1.3,1.8800000000000001,1.01,2.29,1.82,0.45999999999999996,0.38,Biochemical
2.06,1.32,5.33,5.6899999999999995,6.47,14.32,13.44,20.41,15.709999999999999,15.73,23.27,17.849999999999998,15.07,19.16,20.61,23.07,23.599999999999998,12.989999999999998,38.12,58.58,44.97,48.76,100.0,86.75,47.18,53.410000000000004,61.970000000000006,71.43,56.05,37.28,24.81,19.21,13.86,33.25,28.83,32.28,26.07,20.4,23.96,13.19,6.83,3.34,7.16,9.76,7.870000000000001,5.220000000000001,5.0,2.31,2.21,1.44,3.0700000000000003,3.8600000000000003,1.47,0.18,1.0,0.96,0.77,1.7999999999999998,1.09,0.7000000000000001,Inorganic
0.9400000000000001,1.66,3.9800000000000004,3.5900000000000003,6.81,7.06,10.2,8.93,3.81,13.28,13.03,2.73,6.4399999999999995,7.12,12.04,7.17,12.24,23.49,36.84,39.18,49.25,87.92999999999999,96.06,87.86,69.05,69.37,56.74,65.4,78.02,75.75,58.36,63.160000000000004,81.08,90.39,86.47,66.95,40.27,23.7,26.85,36.620000000000005,32.67,22.0,29.959999999999997,22.05,11.63,6.35,4.65,4.22,1.7399999999999998,1.72,1.34,1.41,1.91,1.4500000000000002,0.65,1.29,2.17,0.8699999999999999,0.77,1.22,Biochemical
3.3300000000000005,2.21,2.7,4.81,6.79,9.81,8.43,11.72,7.59,9.2,14.75,5.220000000000001,11.19,9.700000000000001,11.74,16.78,16.42,12.049999999999999,4.9399999999999995,15.440000000000001,34.849999999999994,61.46,91.46,93.64,86.77,87.72,85.53,88.33,100.0,82.96,66.01,54.99000000000001,57.16,68.58999999999999,68.25,51.42,27.500000000000004,13.58,15.509999999999998,26.46,19.939999999999998,18.83,27.46,16.509999999999998,5.75,6.950000000000001,5.9799999999999995,4.5600000000000005,0.21,0.6799999999999999,0.36,0.22,0.32,0.6,0.54,0.63,1.43,1.32,0.51,0.41000000000000003,Polymer
1.23,0.22,1.96,2.06,1.7999999999999998,4.92,0.33,3.9800000000000004,7.91,4.75,11.52,5.2,11.92,19.43,18.4,20.77,19.56,16.3,12.18,10.17,13.54,31.569999999999997,46.45,59.06,67.75999999999999,81.19,85.94000000000001,92.28,83.87,72.38,62.92,51.81,46.29,52.55,51.470000000000006,39.290000000000006,12.790000000000001,4.109999999999999,8.59,11.31,13.059999999999999,17.57,26.479999999999997,19.55,6.5600000000000005,5.800000000000001,3.19,3.01,2.7199999999999998,0.74,1.49,1.25,1.34,0.26,0.38,0.18,1.13,0.58,0.47000000000000003,0.7100000000000001,Polymer
0.91,2.13,2.06,5.050000000000001,6.569999999999999,7.95,9.700000000000001,8.72,7.430000000000001,8.37,15.790000000000001,8.98,3.09,18.56,29.69,20.32,12.64,16.55,16.61,20.91,23.1,44.6,66.34,69.33,76.63,82.06,70.49,75.6,74.66000000000001,63.870000000000005,48.46,33.28,53.559999999999995,87.41,85.72999999999999,67.17999999999999,34.46,31.5,27.02,25.979999999999997,27.42,35.94,43.82,24.6,7.580000000000001,1.87,7.969999999999999,7.48,3.6700000000000004,1.55,3.0,1.1199999999999999,1.1199999999999999,1.02,0.26,0.97,0.98,0.43,0.7100000000000001,1.08,Polymer
0.6799999999999999,2.32,5.13,4.44,2.4899999999999998,6.370000000000001,4.22,11.3,19.11,24.75,16.06,9.22,23.98,32.2,42.95,26.52,6.660000000000001,14.42,23.73,25.95,24.93,39.03,63.839999999999996,80.36999999999999,70.26,68.74,69.97,85.58,100.0,96.21,89.96,75.75,69.02000000000001,56.86,43.96,45.46,29.59,15.870000000000001,16.81,8.42,11.73,17.54,27.279999999999998,17.05,1.94,2.13,3.54,4.2,0.9299999999999999,2.04,1.9900000000000002,1.73,1.63,0.5499999999999999,0.44999999999999996,0.6799999999999999,0.41000000000000003,0.52,1.94,1.05,Organic
0.9299999999999999,1.8499999999999999,0.5599999999999999,0.64,2.6,4.58,4.7,0.5700000000000001,4.25,6.4,8.88,15.989999999999998,15.409999999999998,27.68,21.759999999999998,27.99,34.910000000000004,28.24,24.79,30.049999999999997,43.0,46.839999999999996,45.2,50.260000000000005,62.17,65.71000000000001,66.32000000000001,73.21,85.34,100.0,84.48,63.54,63.080000000000005,62.11,69.76,58.68,48.89,36.83,20.43,14.69,22.2,14.49,14.899999999999999,12.11,11.44,7.91,3.65,1.52,0.8500000000000001,1.2,0.22,0.69,0.64,1.29,1.1400000000000001,0.54,0.89,0.5,0.58,0.25,Polymer
